outage_id,start_timestamp,end_timestamp,district,affected_substation,feeder_affected,capacity_affected_mw,customers_affected,outage_type,cause,season
OUT-2020-024,5/14/2020 9:30,5/14/2020 17:50,Kadapa,AP-SS-024,FDR-KDP-019,26.5,6900,Planned,Upgradation,Summer
OUT-2020-025,5/19/2020 15:20,5/19/2020 20:45,East Godavari,AP-SS-027,FDR-EG-007,43.6,11600,Unplanned,Transmission Line Fault,Summer
OUT-2020-026,5/24/2020 10:10,5/24/2020 16:35,Visakhapatnam,AP-SS-015,FDR-VSP-049,31.8,8400,Unplanned,Equipment Failure,Summer
OUT-2020-027,5/29/2020 7:45,5/29/2020 13:20,Kurnool,AP-SS-034,FDR-KNL-063,29.4,7700,Planned,Maintenance,Summer
OUT-2020-028,6/3/2020 12:15,6/3/2020 15:40,Krishna,AP-SS-021,FDR-KRI-009,34.7,9200,Unplanned,Equipment Failure,Summer
OUT-2020-029,6/8/2020 9:30,6/8/2020 14:45,Anantapur,AP-SS-033,FDR-ATP-027,23.6,6000,Unplanned,Overload,Summer
OUT-2020-030,6/13/2020 15:10,6/13/2020 18:25,Chittoor,AP-SS-022,FDR-CTR-044,27.9,7300,Unplanned,Transmission Line Fault,Summer
OUT-2020-031,6/18/2020 10:20,6/18/2020 17:35,Visakhapatnam,AP-SS-020,FDR-VSP-081,36.4,9600,Planned,Maintenance,Summer
OUT-2020-032,6/23/2020 13:45,6/23/2020 19:20,Guntur,AP-SS-005,FDR-GNT-037,28.7,7500,Unplanned,Equipment Failure,Summer
OUT-2020-033,6/28/2020 8:15,6/28/2020 13:30,Nellore,AP-SS-035,FDR-NLR-012,24.8,6400,Unplanned,Overload,Summer
OUT-2020-034,7/3/2020 11:30,7/3/2020 19:15,Krishna,AP-SS-007,FDR-KRI-026,31.2,8200,Unplanned,Weather Related,Monsoon
OUT-2020-035,7/7/2020 9:45,7/8/2020 4:30,East Godavari,AP-SS-036,FDR-EG-041,37.9,10000,Unplanned,Weather Related,Monsoon
OUT-2020-036,7/12/2020 14:20,7/12/2020 22:45,Visakhapatnam,AP-SS-023,FDR-VSP-106,45.3,12100,Unplanned,Weather Related,Monsoon
OUT-2020-037,7/16/2020 12:10,7/16/2020 17:35,Kadapa,AP-SS-024,FDR-KDP-029,32.5,8600,Unplanned,Equipment Failure,Monsoon
OUT-2020-038,7/21/2020 10:45,7/21/2020 16:20,Krishna,AP-SS-021,FDR-KRI-053,41.7,11100,Unplanned,Transmission Line Fault,Monsoon
OUT-2020-039,7/25/2020 8:30,7/25/2020 16:15,Guntur,AP-SS-032,FDR-GNT-075,38.2,10100,Planned,Maintenance,Monsoon
OUT-2020-040,7/30/2020 15:40,7/31/2020 1:15,Visakhapatnam,AP-SS-037,FDR-VSP-033,46.8,12500,Unplanned,Weather Related,Monsoon
OUT-2020-041,8/4/2020 11:20,8/4/2020 16:50,Kurnool,AP-SS-025,FDR-KNL-047,34.6,9100,Unplanned,Equipment Failure,Monsoon
OUT-2020-042,8/8/2020 13:45,8/8/2020 19:20,Anantapur,AP-SS-017,FDR-ATP-062,29.8,7800,Unplanned,Overload,Monsoon
OUT-2020-043,8/13/2020 9:10,8/13/2020 22:35,Krishna,AP-SS-007,FDR-KRI-019,35.4,9400,Unplanned,Weather Related,Monsoon
OUT-2020-044,8/17/2020 7:45,8/17/2020 16:30,West Godavari,AP-SS-028,FDR-WG-054,40.6,10800,Planned,Upgradation,Monsoon
OUT-2020-045,8/22/2020 14:30,8/23/2020 0:15,Visakhapatnam,AP-SS-020,FDR-VSP-071,48.5,13000,Unplanned,Weather Related,Monsoon
OUT-2020-046,8/26/2020 16:45,8/26/2020 22:20,Nellore,AP-SS-008,FDR-NLR-025,32.4,8600,Unplanned,Transmission Line Fault,Monsoon
OUT-2020-047,8/31/2020 5:30,8/31/2020 16:45,Visakhapatnam,AP-SS-020,FDR-VSP-017,53.8,14500,Unplanned,Weather Related,Monsoon
OUT-2020-048,9/4/2020 8:15,9/5/2020 2:30,East Godavari,AP-SS-036,FDR-EG-008,47.2,12700,Unplanned,Weather Related,Monsoon
OUT-2020-049,9/9/2020 11:40,9/9/2020 18:15,Krishna,AP-SS-021,FDR-KRI-061,41.3,11000,Unplanned,Equipment Failure,Monsoon
OUT-2020-050,9/13/2020 13:20,9/13/2020 19:40,Srikakulam,AP-SS-029,FDR-SKM-042,36.8,9800,Unplanned,Weather Related,Monsoon
OUT-2020-051,10/6/2020 15:05,10/6/2020 19:40,Vizianagaram,AP-SS-030,FDR-VZM-015,33.2,8800,Unplanned,Transmission Line Fault,Monsoon
OUT-2020-052,10/11/2020 9:25,10/11/2020 15:50,Visakhapatnam,AP-SS-015,FDR-VSP-064,42.7,11400,Unplanned,Weather Related,Monsoon
OUT-2020-053,10/15/2020 14:40,10/15/2020 20:15,West Godavari,AP-SS-011,FDR-WG-022,38.9,10400,Unplanned,Equipment Failure,Monsoon
OUT-2020-054,10/19/2020 7:55,10/19/2020 14:25,Krishna,AP-SS-007,FDR-KRI-048,36.3,9600,Planned,Maintenance,Monsoon
OUT-2020-055,10/24/2020 11:20,10/24/2020 17:45,Visakhapatnam,AP-SS-020,FDR-VSP-039,45.8,12300,Unplanned,Equipment Failure,Monsoon
OUT-2020-056,10/28/2020 16:35,10/28/2020 21:10,Guntur,AP-SS-005,FDR-GNT-091,29.6,7800,Unplanned,Overload,Monsoon
OUT-2020-057,11/2/2020 10:05,11/2/2020 13:40,East Godavari,AP-SS-027,FDR-EG-056,31.7,8400,Unplanned,Equipment Failure,Winter
OUT-2020-058,11/6/2020 8:15,11/6/2020 15:30,Visakhapatnam,AP-SS-023,FDR-VSP-027,39.5,10500,Planned,Upgradation,Winter
OUT-2020-059,11/11/2020 13:25,11/11/2020 16:50,Kadapa,AP-SS-024,FDR-KDP-039,28.2,7400,Unplanned,Transmission Line Fault,Winter
OUT-2020-060,11/15/2020 9:40,11/15/2020 12:20,Krishna,AP-SS-021,FDR-KRI-074,34.8,9200,Unplanned,Equipment Failure,Winter
OUT-2020-061,11/20/2020 15:10,11/20/2020 18:35,Anantapur,AP-SS-033,FDR-ATP-018,22.9,5900,Planned,Maintenance,Winter
OUT-2020-062,11/24/2020 11:45,11/24/2020 15:20,Visakhapatnam,AP-SS-037,FDR-VSP-052,41.7,11100,Unplanned,Equipment Failure,Winter
OUT-2020-063,11/28/2020 7:30,11/28/2020 10:55,Nellore,AP-SS-008,FDR-NLR-067,27.6,7200,Unplanned,Overload,Winter
OUT-2020-064,12/3/2020 9:15,12/3/2020 16:40,Guntur,AP-SS-032,FDR-GNT-034,36.5,9700,Planned,Maintenance,Winter
OUT-2020-065,12/7/2020 14:25,12/7/2020 17:50,Krishna,AP-SS-007,FDR-KRI-028,31.9,8300,Unplanned,Equipment Failure,Winter
OUT-2020-066,12/11/2020 10:40,12/11/2020 14:15,Visakhapatnam,AP-SS-020,FDR-VSP-087,44.1,11800,Unplanned,Transmission Line Fault,Winter
