substation_id,name,district,location,latitude,longitude,capacity_mva,voltage_level_kv (input/output),peak_load_mw
AP-SS-001,Gudivada,Krishna,Gudivada,16.4359,80.9952,1000,400/220,780
AP-SS-002,Maradam,Vizianagaram,Maradam,18.1657,83.4192,1315,400/220,940
AP-SS-003,Rachagunneri,Chittoor,Rachagunneri,13.6287,79.1052,1130,400/220/132/33,850
AP-SS-004,Tirumalaipally,Kadapa,Tirumalaipally,14.4756,78.8243,500,220/132,380
AP-SS-005,Guntur,Guntur,Guntur City,16.3067,80.4365,630,220/132,520
AP-SS-006,Pydibhimavaram,Srikakulam,Pydibhimavaram,18.1329,83.5974,315,220/132,240
AP-SS-007,Nuziveedu,Krishna,Nuziveedu,16.7859,80.8498,400,220/132,310
AP-SS-008,Atmakur,Nellore,Atmakur,14.4872,79.5748,250,220/132,190
AP-SS-009,Kandukur,Prakasam,Kandukur,15.2132,79.9038,200,220/132,160
AP-SS-010,Racharlapadu,Nellore,Racharlapadu,14.5245,79.9638,450,220/132,370
AP-SS-011,Thadipudi,West Godavari,Thadipudi,16.9012,81.2543,320,220/132,260
AP-SS-012,Mutyalacheruvu,Anantapur,Mutyalacheruvu,14.1264,77.8234,280,220/132,220
AP-SS-013,Ponnuru,Guntur,Ponnuru,16.0667,80.5667,150,132/33,110
AP-SS-014,AIIMS/Mangalagiri,Guntur,Mangalagiri,16.4344,80.5584,200,132/33,150
AP-SS-015,Kapuluppada,Visakhapatnam,Kapuluppada,17.8213,83.3471,180,132/33,140
AP-SS-016,Podili,Prakasam,Podili,15.6035,79.6037,800,400/220,620
AP-SS-017,Hindupur,Anantapur,Hindupur,13.8295,77.4912,750,400/220,580
AP-SS-018,Kalikiri,Chittoor,Kalikiri,13.6235,78.7835,700,400/220,540
AP-SS-019,Guddigudem,West Godavari,Guddigudem,16.7864,81.1254,850,400/220,680
AP-SS-020,Visakhapatnam Main,Visakhapatnam,Visakhapatnam,17.7245,83.3147,1200,400/220,950
AP-SS-021,Vijayawada Main,Krishna,Vijayawada,16.5193,80.6489,980,400/220,760
AP-SS-022,Tirupati Main,Chittoor,Tirupati,13.6288,79.4192,750,400/220/132,640
AP-SS-023,Gajuwaka,Visakhapatnam,Gajuwaka,17.6868,83.2185,320,220/132,280
AP-SS-024,Kadapa Main,Kadapa,Kadapa,14.4673,78.8242,410,220/132,330
AP-SS-025,Kurnool Main,Kurnool,Kurnool,15.8281,78.0373,520,220/132,420
AP-SS-026,Ongole Main,Prakasam,Ongole,15.5057,80.0499,380,220/132,310
AP-SS-027,Rajahmundry,East Godavari,Rajahmundry,16.9891,81.7837,450,220/132,370
AP-SS-028,Eluru,West Godavari,Eluru,16.7107,81.0952,320,220/132,260
AP-SS-029,Srikakulam Main,Srikakulam,Srikakulam,18.2949,83.8936,280,220/132,220
AP-SS-030,Vizianagaram Main,Vizianagaram,Vizianagaram,18.1066,83.3956,300,220/132,240
AP-SS-031,Kovvur,West Godavari,Kovvur,17.0068,81.7276,150,132/33,120
AP-SS-032,Narasaraopet,Guntur,Narasaraopet,16.2329,80.0578,160,132/33,130
AP-SS-033,Tadipatri,Anantapur,Tadipatri,14.9009,78.0112,180,132/33,140
AP-SS-034,Nandyal,Kurnool,Nandyal,15.4779,78.4836,200,132/33,160
AP-SS-035,Gudur,Nellore,Gudur,14.1503,79.8424,160,132/33,120
AP-SS-036,Kakinada,East Godavari,Kakinada,16.9391,82.2475,280,220/132,220
AP-SS-037,Ankapalli,Visakhapatnam,Ankapalli,17.6899,82.9961,170,132/33,130
AP-SS-038,Madanapalle,Chittoor,Madanapalle,13.5603,78.502,190,132/33,150
AP-SS-039,Rayachoti,Kadapa,Rayachoti,14.0574,78.7505,140,132/33,110
AP-SS-040,Pulivendla,Kadapa,Pulivendla,14.426,78.2254,120,132/33,90
